2011 output area,All categories: General health,Very good health,Good health,Fair health,Bad health,Very bad health
E00057178,361,175,122,44,14,6
E00057179,587,315,200,51,18,3
E00057180,234,104,77,35,14,4
E00057181,209,26,53,62,51,17
E00057182,221,51,81,48,28,13
E00057183,197,63,82,28,16,8
E00057184,196,80,67,33,13,3
E00057185,252,103,92,31,21,5
E00057186,254,94,77,58,18,7
E00057187,355,169,113,60,9,4
E00057188,291,151,96,26,16,2
E00057189,318,125,120,51,18,4
E00057190,267,119,77,51,14,6
E00057191,243,113,74,35,16,5
E00057192,258,134,82,34,4,4
E00057193,258,156,83,17,1,1
E00057194,257,113,81,42,17,4
E00057195,320,183,83,40,12,2
E00057196,265,124,98,32,7,4
E00057197,284,156,81,38,5,4
E00057198,409,215,131,40,16,7
E00057199,335,170,78,56,26,5
E00057200,395,171,149,44,19,12
E00057202,367,175,122,38,20,12
E00057204,449,192,132,82,38,5
E00057205,322,181,93,39,9,0
E00057206,232,88,91,33,17,3
E00057207,224,149,58,12,5,0
E00057208,411,197,129,55,28,2
E00057209,318,149,106,43,15,5
E00057210,394,210,121,48,13,2
E00057211,314,162,96,42,12,2
E00057212,267,135,85,27,17,3
E00057213,371,168,141,47,9,6
E00057214,279,133,89,36,14,7
E00057215,324,144,114,52,11,3
E00057216,367,161,118,66,14,8
E00057217,429,194,160,53,17,5
E00057218,324,147,101,49,19,8
E00057220,465,201,167,65,24,8
E00057221,297,108,110,59,15,5
E00057222,468,187,177,81,16,7
E00057223,396,174,120,70,22,10
E00057225,571,255,201,82,24,9
E00057226,326,120,110,63,24,9
E00057227,344,221,92,18,10,3
E00057228,311,184,88,27,10,2
E00057229,264,134,88,25,10,7
E00057230,270,164,82,17,6,1
E00057231,380,231,114,24,9,2
E00057232,420,225,136,42,12,5
E00057233,249,122,85,32,7,3
E00057234,293,135,94,46,15,3
E00057235,292,191,82,17,2,0
E00057236,305,158,100,31,12,4
E00057238,302,158,99,36,6,3
E00057239,298,147,118,27,4,2
E00057240,177,70,56,40,6,5
E00057241,322,158,104,42,15,3
E00057242,285,114,108,35,25,3
E00057244,449,286,124,33,5,1
E00057245,345,151,110,51,26,7
E00057246,151,21,38,55,25,12
E00057247,283,163,79,30,8,3
E00057248,279,126,71,42,30,10
E00057249,289,158,90,25,14,2
E00057250,240,95,70,44,25,6
E00057251,293,125,119,27,16,6
E00057252,315,158,111,34,10,2
E00057253,321,164,100,45,11,1
E00057254,368,173,114,47,27,7
E00057255,455,236,132,60,24,3
E00057256,210,100,64,29,17,0
E00057257,265,115,78,49,15,8
E00057258,242,94,102,32,10,4
E00057259,196,97,60,24,12,3
E00057261,203,93,64,29,14,3
E00057262,358,133,150,53,19,3
E00057264,340,138,119,54,27,2
E00057265,329,147,110,52,16,4
E00057266,394,184,163,32,12,3
E00057267,308,137,124,35,12,0
E00057268,188,82,63,30,12,1
E00057269,177,82,44,31,14,6
E00057270,373,144,136,69,19,5
E00057271,208,71,81,38,17,1
E00057272,357,154,122,49,26,6
E00057273,319,145,119,41,11,3
E00057274,250,84,82,46,33,5
E00057275,209,79,80,32,15,3
E00057276,302,129,118,40,13,2
E00057277,190,67,78,27,12,6
E00057278,216,79,91,30,16,0
E00057280,186,92,59,24,9,2
E00057281,317,129,124,40,21,3
E00057282,232,87,102,29,14,0
E00057283,266,116,100,33,13,4
E00057284,246,126,71,30,18,1
E00057285,355,148,140,47,11,9
E00057286,230,113,82,26,5,4
E00057287,453,220,149,53,22,9
E00057288,242,97,104,30,10,1
E00057289,362,122,108,89,28,15
E00057290,399,187,128,42,34,8
E00057291,338,159,117,43,13,6
E00057292,280,116,107,43,14,0
E00057293,253,107,91,38,12,5
E00057294,282,145,81,34,17,5
E00057295,214,47,75,62,26,4
E00057296,359,161,137,47,10,4
E00057297,172,92,48,17,13,2
E00057298,300,154,100,31,13,2
E00057300,267,81,109,50,20,7
E00057303,250,120,81,40,7,2
E00057304,341,119,117,64,33,8
E00057305,216,89,66,38,18,5
E00057307,195,78,66,33,13,5
E00057309,355,149,120,56,27,3
E00057310,307,141,100,46,16,4
E00057311,102,15,33,25,21,8
E00057312,187,17,56,70,32,12
E00057313,305,131,110,40,12,12
E00057315,225,100,77,26,18,4
E00057316,256,121,97,31,5,2
E00057321,411,192,141,54,20,4
E00057322,259,117,83,34,23,2
E00057323,308,115,130,40,19,4
E00057325,216,37,62,74,33,10
E00057326,154,69,51,21,9,4
E00057327,124,51,40,19,10,4
E00057328,275,111,85,48,23,8
E00057329,222,94,77,36,13,2
E00057330,248,84,103,41,17,3
E00057331,201,95,61,28,11,6
E00057332,214,60,66,57,27,4
E00057333,256,98,87,43,26,2
E00057334,307,181,81,34,10,1
E00057335,357,179,123,37,15,3
E00057336,298,138,122,23,9,6
E00057337,284,144,100,31,5,4
E00057338,274,119,88,50,11,6
E00057339,312,167,97,34,13,1
E00057340,271,120,88,46,16,1
E00057341,279,150,102,23,2,2
E00057342,269,131,104,28,3,3
E00057343,333,182,113,32,4,2
E00057344,252,103,88,38,20,3
E00057345,251,98,86,41,20,6
E00057346,337,161,104,51,19,2
E00057347,269,139,79,31,13,7
E00057348,225,101,88,22,9,5
E00057349,320,129,120,56,10,5
E00057350,241,124,90,22,4,1
E00057351,202,95,61,28,14,4
E00057352,324,159,111,41,8,5
E00057353,310,179,96,27,7,1
E00057354,281,133,105,32,8,3
E00057355,253,108,90,41,11,3
E00057356,230,103,81,31,10,5
E00057357,287,124,106,39,14,4
E00057358,212,100,88,20,4,0
E00057359,246,128,87,27,4,0
E00057360,338,183,107,33,12,3
E00057361,347,180,126,34,5,2
E00057362,200,104,71,20,5,0
E00057363,216,78,67,34,31,6
E00057364,189,43,79,44,20,3
E00057365,220,98,80,33,8,1
E00057366,229,66,97,50,14,2
E00057367,270,119,104,36,9,2
E00057368,208,83,54,49,18,4
E00057369,209,57,89,45,10,8
E00057370,297,129,96,49,16,7
E00057371,232,102,79,39,9,3
E00057372,296,140,107,41,7,1
E00057374,294,132,99,48,8,7
E00057375,328,160,109,47,11,1
E00057376,297,166,72,38,19,2
E00057377,293,131,99,44,15,4
E00057378,307,165,85,45,7,5
E00057379,364,218,114,23,9,0
E00057380,324,203,90,26,3,2
E00057382,288,164,80,34,7,3
E00057383,238,97,88,29,17,7
E00057384,277,117,110,42,7,1
E00057385,231,61,84,60,22,4
E00057386,266,114,104,33,15,0
E00057387,188,89,60,25,12,2
E00057388,193,93,64,27,5,4
E00057389,286,137,92,38,11,8
E00057390,322,154,119,37,11,1
E00057391,265,128,80,36,18,3
E00057392,295,155,93,37,6,4
E00057393,301,118,117,50,13,3
E00057394,286,139,85,48,12,2
E00057395,262,104,92,45,17,4
E00057396,325,168,110,38,7,2
E00057397,301,153,112,28,6,2
E00057398,281,129,101,36,13,2
E00057399,378,235,106,30,6,1
E00057400,350,203,91,45,8,3
E00057401,327,175,109,36,6,1
E00057402,221,89,94,28,9,1
E00057403,306,158,104,36,8,0
E00057404,181,64,52,47,16,2
E00057405,304,135,92,57,16,4
E00057406,382,200,107,63,8,4
E00057407,235,110,75,35,12,3
E00057408,362,226,103,23,8,2
E00057409,369,202,124,29,13,1
E00057410,292,140,102,42,7,1
E00057411,399,223,118,43,13,2
E00057412,289,161,85,28,13,2
E00057413,296,167,102,17,6,4
E00057414,321,169,122,27,2,1
E00057415,224,60,62,69,29,4
E00057416,307,148,112,37,8,2
E00057417,345,172,119,40,11,3
E00057418,328,147,133,44,3,1
E00057419,286,159,97,26,3,1
E00057420,322,133,138,38,10,3
E00057421,340,159,116,41,22,2
E00057422,321,196,94,24,2,5
E00057423,338,198,98,31,7,4
E00057424,281,144,86,35,13,3
E00057425,319,145,94,52,19,9
E00057426,311,155,85,45,23,3
E00057427,267,100,104,49,11,3
E00057428,270,123,95,39,12,1
E00057429,223,96,64,44,15,4
E00057430,302,170,92,29,11,0
E00057431,381,188,132,48,11,2
E00057432,282,148,97,28,8,1
E00057433,283,134,121,16,10,2
E00057434,288,131,107,29,15,6
E00057435,244,88,90,39,20,7
E00057436,228,86,71,44,23,4
E00057437,278,124,112,30,10,2
E00057438,330,182,113,27,6,2
E00057439,227,83,77,40,24,3
E00057440,246,130,67,38,7,4
E00057441,363,168,141,44,7,3
E00057442,265,92,119,32,20,2
E00057443,241,134,78,21,7,1
E00057444,319,156,117,38,8,0
E00057445,286,150,90,40,4,2
E00057446,344,184,118,37,2,3
E00057447,302,147,107,34,10,4
E00057448,320,124,132,51,10,3
E00057449,267,121,89,35,16,6
E00057450,326,159,116,38,9,4
E00057451,304,161,117,20,5,1
E00057452,261,139,94,25,2,1
E00057453,279,86,91,81,19,2
E00057454,235,65,96,50,18,6
E00057455,300,137,94,50,11,8
E00057456,216,65,91,45,11,4
E00057457,216,81,63,50,17,5
E00057458,282,147,95,31,9,0
E00057459,306,116,105,60,21,4
E00057460,401,186,132,66,15,2
E00057461,247,95,84,54,11,3
E00057462,263,94,112,47,8,2
E00057463,307,165,111,27,3,1
E00057464,265,95,101,53,10,6
E00057465,311,147,107,41,11,5
E00057466,129,30,37,48,10,4
E00057467,282,109,102,57,12,2
E00057468,558,329,166,45,13,5
E00057469,283,128,84,53,15,3
E00057470,333,134,112,43,40,4
E00057471,241,87,85,48,16,5
E00057472,298,113,115,45,18,7
E00057473,364,149,153,52,8,2
E00057474,271,131,82,42,14,2
E00057475,289,111,111,44,14,9
E00057476,273,129,93,41,6,4
E00057477,293,113,86,59,27,8
E00057478,271,100,99,50,20,2
E00057479,195,48,53,54,33,7
E00057480,324,165,104,44,9,2
E00057481,274,94,105,43,22,10
E00057482,269,124,93,35,13,4
E00057483,297,104,108,60,20,5
E00057484,292,119,99,36,26,12
E00057485,293,148,100,36,9,0
E00057486,284,110,114,43,12,5
E00057487,316,139,119,43,10,5
E00057488,227,75,86,46,16,4
E00057489,246,98,94,40,14,0
E00057490,332,176,110,33,8,5
E00057491,281,134,95,36,13,3
E00057492,286,154,95,27,9,1
E00057493,305,144,94,33,21,13
E00057494,277,147,103,20,6,1
E00057495,349,198,101,36,11,3
E00057496,364,179,121,48,9,7
E00057497,283,118,104,49,12,0
E00057498,368,165,136,41,16,10
E00057499,320,171,102,35,11,1
E00057500,217,69,85,45,15,3
E00057501,358,172,115,57,11,3
E00057502,309,218,68,17,4,2
E00057503,370,175,131,47,10,7
E00057504,289,115,115,41,14,4
E00057505,283,102,110,52,13,6
E00057506,293,135,101,42,14,1
E00057507,277,119,102,45,6,5
E00057508,255,111,93,48,3,0
E00057509,289,120,109,44,12,4
E00057510,248,105,72,40,26,5
E00057511,282,135,104,35,5,3
E00057512,280,115,114,39,9,3
E00057513,223,103,76,33,10,1
E00057514,236,135,67,22,10,2
E00057515,218,78,63,56,19,2
E00057516,218,95,79,35,6,3
E00057517,219,52,69,68,19,11
E00057518,290,146,91,38,11,4
E00057519,214,47,72,65,28,2
E00057520,295,153,97,30,13,2
E00057521,277,136,98,39,2,2
E00057522,314,182,81,35,14,2
E00057523,230,86,70,55,15,4
E00057524,272,138,82,41,8,3
E00057525,243,91,95,43,13,1
E00057526,354,174,129,35,12,4
E00057527,282,137,102,24,14,5
E00057528,327,196,87,33,11,0
E00057529,308,161,109,27,9,2
E00057530,326,167,119,34,5,1
E00057531,300,139,102,47,10,2
E00057532,180,65,70,32,10,3
E00057533,295,154,83,44,11,3
E00057534,290,149,101,31,8,1
E00057535,326,197,100,25,4,0
E00057536,245,91,77,53,21,3
E00057537,288,158,86,32,10,2
E00057538,355,173,128,38,11,5
E00057539,238,98,91,34,11,4
E00057540,271,105,105,49,11,1
E00057541,245,88,102,43,10,2
E00057542,302,148,112,32,8,2
E00057543,345,162,126,37,19,1
E00057544,329,163,103,47,12,4
E00057545,224,76,95,35,14,4
E00057546,236,101,76,40,12,7
E00057547,264,142,90,25,7,0
E00057548,258,130,64,33,10,21
E00057549,273,138,96,31,7,1
E00057550,313,169,110,29,5,0
E00057551,296,127,112,46,9,2
E00057552,360,221,101,30,7,1
E00057553,291,126,94,56,12,3
E00057554,321,195,100,23,3,0
E00057555,243,95,80,52,14,2
E00057556,219,87,80,33,18,1
E00057557,288,159,78,41,6,4
E00057558,252,84,98,52,14,4
E00057559,360,173,131,48,6,2
E00057560,319,163,114,31,9,2
E00057561,276,119,102,39,10,6
E00057562,293,137,103,41,10,2
E00057563,231,91,81,45,10,4
E00057564,321,133,109,56,17,6
E00057565,277,137,85,38,14,3
E00057566,326,148,124,42,8,4
E00057567,532,238,223,48,17,6
E00057568,483,213,177,60,23,10
E00057570,531,266,160,67,26,12
E00057571,336,158,134,31,9,4
E00057573,315,128,113,47,21,6
E00057574,309,168,95,30,16,0
E00057575,284,156,96,23,7,2
E00057576,196,92,52,37,12,3
E00057577,461,198,176,51,26,10
E00057578,297,150,76,43,20,8
E00057579,378,182,134,50,10,2
E00057580,387,176,153,34,20,4
E00057581,419,172,167,55,19,6
E00057582,316,142,99,54,11,10
E00057583,393,186,150,45,9,3
E00057584,367,154,135,50,25,3
E00057585,321,156,107,35,19,4
E00057586,307,132,122,35,16,2
E00057587,322,154,103,43,15,7
E00057589,586,243,237,72,23,11
E00057590,406,187,154,46,14,5
E00057591,364,145,134,67,16,2
E00057592,474,234,143,67,25,5
E00057593,341,170,114,38,14,5
E00057594,361,177,121,45,15,3
E00057595,383,181,144,45,10,3
E00057596,281,127,103,36,12,3
E00057597,504,222,172,71,27,12
E00057598,438,189,136,69,31,13
E00057599,335,170,105,48,10,2
E00057600,284,103,121,40,13,7
E00057601,333,158,101,43,23,8
E00057602,431,226,123,63,16,3
E00057603,316,149,105,48,12,2
